"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n",Priorizado,"Fecha SoluciÃ³n Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,10035,RM-10035,SPA-MU,418,SPA-MU00418,Abierto,"Alexandre GOMBA","2023-12-05 15:28:52",2023-09-24,,,,"criticidad alta < 6 meses",2024-04-01,,2,"Recibido correo inforamando que quieren renegociar al vencimiento. Es un TI",235448
RM,24,RM-24,SPA-BA,108,SPA-BA00108,Abierto,"Delgado Alejandro","2023-12-05 15:28:17",2022-01-17,,,,"criticidad baja > 9 meses",2025-05-24,,1,"W03: Se incluye el punto en riesgo: no es posible ampliar la tirada de fibra asique es necesario  buscar una alternativa donde podamos dar a nuestros clientes el servicio que necesitan.",221779
RM,373,RM-373,SPA-GC,689,SPA-GC00689,Cerrado,"Delgado Alejandro","2023-12-05 15:28:39",2021-10-05,,2023-08-28,,"criticidad muy alta < 3 meses",2023-10-12,,1,"W40: Se crea el riesgo, se rechazÃ³ el jumping sobre el punto el 24/03/2021. Es necesario lanzar la SF.",214599
RM,6469,RM-6469,SPA-GR,6469,SPA-GR06469,Cerrado,"Alexandre GOMBA","2023-12-05 15:41:22",2023-01-07,,2023-06-23,,"criticidad alta < 6 meses",2023-09-30,,,"W01 2023:Asignamos rng por vencimiento en este punto. Revisando los auto renovados de este mes, enviaron burofax indicando la rescisiÃ³n en marzo-23. 
Se le ofreciÃ³ prepayment pero no lo aceptaron, tienen una terraza donde la instalaciÃ³n y no lo ven con buenos ojos.",229928
RM,1087,RM-1087,SPA-VI,8631,SPA-VI08631,Cerrado,"Delgado Alejandro","2023-12-05 15:43:22",2018-10-26,,2019-05-28,,"criticidad baja > 9 meses",2024-05-26,,,"Burofax rescisiÃ³n  28/09/2019.",48352
RM,1300,RM-1300,SPA-AX,6167,SPA-AX06167,Cerrado,"Delgado Alejandro","2023-12-05 15:42:52",2018-10-26,,2019-02-27,,"criticidad baja > 9 meses",,,,,48342
RM,10132,RM-10132,SPA-HX,9613,SPA-HX09613,Abierto,"Alexandre GOMBA","2023-12-05 15:23:32",2023-11-12,,,,"criticidad baja > 9 meses",2024-10-11,,1,"La propiedad comunica que han decidido quitar la antena, alegan que pagan mÃ¡s de impuesto que lo que les renta. Son tres hermanos y lo tienen mÃ¡s que decidido. Han remitido el burofax en tiempo y forma.",236118
RM,3501,RM-3501,SPA-MX,3501,SPA-MX03501,Cerrado,"Alexandre GOMBA","2023-12-05 15:28:16",2022-01-17,,2022-07-20,,"criticidad baja > 9 meses",2024-12-20,,,"W03: Incluimos el punto en riesgo. Las expectativas de la propiedad son inalcancables. Tenemos que esperar su respuesta para intentar bajar esos 25kâ¬.",221778
RM,1604,RM-1604,SPA-MX,918,SPA-MX00918,Abierto,"Delgado Alejandro","2023-12-05 15:29:31",2020-11-05,,,,"criticidad muy alta < 3 meses",2021-06-27,,2,"Recibido burofax de rescisiÃ³n con fecha de vencimiento 27/06/2021. Es un contrato de T.I.",163492
RM,1111,RM-1111,SPA-VX,1025,SPA-VX01025,Cerrado,"Delgado Alejandro","2023-12-05 15:40:06",2019-11-18,,2020-02-18,,"criticidad media < 9 meses",2025-06-18,,,"Repliegues: Gestion de riesgos",101633
RM,529,RM-529,SPA-LE,41,SPA-LE00041,Cerrado,"Delgado Alejandro","2023-12-05 15:40:26",2021-03-04,,2021-03-24,,"criticidad alta < 6 meses",2021-06-01,,,"W09: Se crea el job de riesgo para realizar la ubicaciÃ³n del cableado en el punto. Hay que mover unos cables en un Hotel Melia que al parecer afectan a un desagÃ¼e. Es necesario crear un job correspondiente para ejecutar el trabajo con una ingenierÃ­a.",182671
RM,981,RM-981,SPA-TF,8,SPA-TF00008,Abierto,"Delgado Alejandro","2023-12-05 15:23:55",2022-07-07,,,,"criticidad baja > 9 meses",2025-05-28,,2,"Se incluye punto en riesgo, reubicaciÃ³n.  El mÃ¡stil presenta agrietamiento y la propiedad pide que se traslade a otra zona donde estÃ¡ ubicado AT.",226570
RM,571,RM-571,SPA-LX,9829,SPA-LX09829,Abierto,"Delgado Alejandro","2023-12-05 15:27:26",2022-11-08,,,,"criticidad baja > 9 meses",2024-11-22,,2,"Tenemos que declarar en riesgo este emplazamiento LX9829 donde la propiedad ha vendido a On Tower los derechos de crÃ©dito del contrato a pesar de que estaba prohibido por contrato. 

El contrato vence en 2 aÃ±os (22/11/2024) y tenemos que ir viendo quÃ© opciones de repliegue podemos tener por cuanto la situaciÃ³n va a ser complicada con esta propiedad",228926
RM,1014,RM-1014,SPA-TX,69,SPA-TX00069,Abierto,"Delgado Alejandro","2023-12-05 15:29:21",2020-03-31,,,,"criticidad muy alta < 3 meses",2020-05-31,,3,"Burofax de rescisiÃ³n con fecha de renovaciÃ³n 31/05/2020, queremos renovar en las mismas condiciones.",127510
RM,1572,RM-1572,SPA-MX,149,SPA-MX00149,Cerrado,"Delgado Alejandro","2023-12-05 15:40:33",2020-11-18,,2021-04-19,,"criticidad baja > 9 meses",2026-12-21,,,"W47: No Ã©ramos conscientes de este burofax que llegÃ³ en junio y el contrato vence el 21/12/2020
Tiene una renta de 24K y por el burofax se deduce que su argumento es monetario",166537
RM,1053,RM-1053,SPA-VA,2202,SPA-VA02202,Cerrado,"Delgado Alejandro","2023-12-05 15:42:15",2019-04-23,,2019-06-03,,"criticidad alta < 6 meses",2019-10-15,,,"Recibida burofax de la propiedad comunicando la rescisiÃ³n el 15/10/19",73159
RM,1141,RM-1141,SPA-ZX,17,SPA-ZX00017,Cerrado,"Delgado Alejandro","2023-12-05 15:42:26",2019-01-28,,2019-02-05,,"criticidad media < 9 meses",2023-07-07,,,,58893
RM,1496,RM-1496,SPA-IB,204,SPA-IB00204,Cerrado,"Delgado Alejandro","2023-12-05 15:42:04",2019-06-07,,2023-05-27,,"criticidad baja > 9 meses",2024-11-23,,,"Recibido burofax de rescisiÃ³n, el vencimiento es el 23/11/19",80777
RM,10069,RM-10069,SPA-GI,139,SPA-GI00139,Abierto,"Alexandre GOMBA","2023-12-05 15:23:20",2022-12-01,,,,"criticidad muy alta < 3 meses",2023-05-30,,2,"W48: Es una mÃ³vil que estÃ¡ sufriendo sabtoajes por incendios de manera reiterada. Hay que contactar con propiedad para intentar cambio a fija y lanzar SF",229272
RM,1448,RM-1448,SPA-GC,268,SPA-GC00268,Cerrado,"Delgado Alejandro","2023-12-05 15:41:15",2020-01-23,,2020-03-06,,"criticidad muy alta < 3 meses",2020-02-29,,,"El hotel comienza el lunes 27/01/20 una reforma integral y es necesario acometer la reinstalaciÃ³n del emplazamiento.",114022
RM,1117,RM-1117,SPA-VX,1009,SPA-VX01009,Cerrado,"Delgado Alejandro","2023-12-05 15:42:47",2018-10-26,,2018-11-05,,"criticidad muy alta < 3 meses",2018-11-15,,,,48312
RM,147,RM-147,SPA-BX,381,SPA-BX00381,Abierto,"Delgado Alejandro","2023-12-05 15:28:23",2021-12-09,,,,"criticidad muy alta < 3 meses",2023-12-23,,1,"W19: Recibido burofax de rescisiÃ³n con fecha de vencimiento 23/112/2023. La propiedad busca un aumento de la renta recibida debido al IPC",221198
RM,1017,RM-1017,SPA-TO,210,SPA-TO00210,Cerrado,"Delgado Alejandro","2023-12-05 15:40:11",2021-02-10,,2021-06-10,,"criticidad media < 9 meses",2031-10-01,,,"Recibido burofax de rescisiÃ³n con fecha de vencimiento 01/10/2021.",177995
RM,1083,RM-1083,SPA-VX,34,SPA-VX00034,Cerrado,"Delgado Alejandro","2023-12-05 15:42:47",2018-10-26,,2023-03-21,,"criticidad muy alta < 3 meses",2019-06-30,,,,48315
RM,104,RM-104,SPA-BX,278,SPA-BX00278,Cerrado,"Delgado Alejandro","2023-12-05 15:28:10",2022-01-31,,2022-07-20,,"criticidad baja > 9 meses",2023-12-01,,,"W05: Se incluye el punto en riesgo, la propiedad pide un incremento desorbitado, lo mÃ¡ximo que podemos subir actualmente serÃ­a un 20% (hasta 25kâ¬).",222123
