"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de Creación",Priorizado,"Fecha Solución Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,1209,RM-1209,SPA-MX,20,SPA-MX00020,Abierto,"Delgado Alejandro","2024-01-28 22:07:16",2023-05-30,Si,,Propiedad,"criticidad muy alta < 3 meses",2024-04-15,,3,"LLEGA BUROAX EN TIEMPO Y FORMA",233208
RM,1243,RM-1243,SPA-SE,83,SPA-SE00083,Cerrado,"Delgado Alejandro","2024-01-17 10:48:05",2023-06-05,,2023-07-12,Propiedad,"criticidad muy alta < 3 meses",2023-08-24,,,"RECIBIDO BUROFAX DE RESCISION EN TIEMPO Y FORMA",233292
RM,1646,RM-1646,SPA-OX,1210,SPA-OX01210,Cerrado,"Delgado Alejandro","2024-01-17 10:50:30",2018-11-15,,2023-01-11,Acometida,"criticidad muy alta < 3 meses",2023-06-28,,,"Sitio donde está SUINGO. luz cortada, exigen incrementos de renta sin motivo  y atrasos de GG generales desmesurados. intentamos llegar  a acuerdo para activar la acometida propia, pero no  terminan de dar el OK. será complicado llegar a ningún acuerdo",50514
RM,365,RM-365,SPA-GC,243,SPA-GC00243,Abierto,"Delgado Alejandro","2024-01-17 10:49:07",2022-03-16,,,Propiedad,"criticidad muy alta < 3 meses",2023-10-26,,1,"W11 2022: Se incluye el punto en riesgo. Hay problemas entre ambas propiedades para la instalación de acometida propia.",223467
RM,1226,RM-1226,SPA-MX,3402,SPA-MX03402,Abierto,"Delgado Alejandro","2024-01-17 10:48:09",2023-05-21,,,Propiedad,"criticidad alta < 6 meses",2024-05-21,,1,"RECIBIDO BUROFAX EN TIEMPO Y FORMA",233045
RM,1114,RM-1114,SPA-VX,1002,SPA-VX01002,Cerrado,"Delgado Alejandro","2024-01-17 10:50:24",2019-01-15,,2020-04-25,Propiedad,"criticidad media < 9 meses",2024-10-01,,,"Recibido burofax por parte de la propiedad para renegociar el contrato a vencimiento el 1/10/19.",56058
RM,5417,RM-5417,SPA-SS,5417,SPA-SS05417,Cerrado,"Alexandre GOMBA","2024-01-17 10:48:56",2022-07-15,,2023-03-07,Propiedad,"criticidad baja > 9 meses",2026-10-01,,,"Repliegues: Gestion de riesgos",226685
RM,10121,RM-10121,SPA-CO,7746,SPA-CO07746,Cerrado,"Alexandre GOMBA","2024-01-17 10:48:00",2023-06-25,,2023-08-08,"Intervención de la Propiedad","criticidad media < 9 meses",2024-02-13,,1,"Si está Siter con el punto, van a contactar con la persona que denuncia el problema de la fibra FTTH. No es un problema de obras de la propiedad, es un tema del paso de la fibra FTTH, que al hacer la obra para instalar la misma han detectado este tema. Tenemos a un cliente que acude al PDV para advertir que, al hacer obra han detectado que existe una antena nuestra que impide la finalización de la misma y hay riesgo de cortes por el cableado que pasa por la fachada.",233705
RM,514,RM-514,SPA-IB,9061,SPA-IB09061,Abierto,"Delgado Alejandro","2024-01-28 22:58:29",2022-02-28,,,"Propiedad, Otro Operador","criticidad media < 9 meses",2024-09-15,,2,"Emplazamiento en SOL Meliá vendido a Cellnex. Se declara en riesgo para ver las posibilidad de encontrar una alternativa y replegarse.",222915
RM,10163,RM-10163,SPA-TF,6007,SPA-TF06007,Abierto,"Alexandre GOMBA","2024-01-28 22:45:48",2023-12-03,,,Propiedad,"criticidad alta < 6 meses",2024-07-14,,1,"Recibido burodax pero quieren negociar",236459
RM,599,RM-599,SPA-MA,2989,SPA-MA02989,Cerrado,"Delgado Alejandro","2024-01-17 10:49:04",2022-04-08,,2023-01-28,Propiedad,"criticidad alta < 6 meses",2023-04-30,,,"W14 2022: Recibido burofax de rescisión con fecha de vencimiento 30/04/2022",224272
RM,1314,RM-1314,SPA-BI,618,SPA-BI00618,Abierto,"Delgado Alejandro","2024-01-17 10:50:36",2018-10-26,,,Propiedad,"criticidad baja > 9 meses",2024-12-31,,3,"Mallavia recibido Burofax de rescisión 08/07/2019",48407
