"ID de la condición del beneficiario - prefix","ID de la condición del beneficiario - number","ID de la condición del beneficiario","Id Partes Relacionadas - prefix","Id Partes Relacionadas - number","Id Partes Relacionadas","Id Arrendamiento - prefix","Id Arrendamiento - number","Id Arrendamiento",Estado,Autor,"Ultimo cambio","Fecha de Creación","Fecha de Baja",Exención/Retención,"Renta Anual del Beneficiario",Autofacturación
Cond,27436,Cond-27436,RP,1870,RP-01870,L,17642,L-17642,Activo,"Alexandre GOMBA","2023-10-20 16:22:17",2023-10-20,,Si,,Si
Cond,19065,Cond-19065,RP,4973,RP-04973,L,6754,L-06754,Activo,"Delgado Alejandro","2023-10-20 17:14:08",2023-05-03,,No,,Si
Cond,26097,Cond-26097,,,-,L,9626,L-09626,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:47:21",2023-06-16,,No,9083.4,Si
Cond,25080,Cond-25080,,,-,L,4627,L-04627,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:45:01",2023-06-16,,Si,1900.0,Si
Cond,31399,Cond-31399,RP,21527,RP-21527,L,1491,L-01491,Activo,"Alexandre GOMBA","2024-01-10 22:20:44",2024-01-10,,No,,Si
Cond,26922,Cond-26922,RP,20744,RP-20744,L,11623,L-11623,Activo,"Alexandre GOMBA","2023-10-20 16:12:57",2023-10-20,,No,,Si
Cond,30791,Cond-30791,RP,20719,RP-20719,L,8389,L-08389,Activo,"Alexandre GOMBA","2023-11-16 16:13:50",2023-11-16,,No,,No
Cond,20306,Cond-20306,RP,5855,RP-05855,L,7954,L-07954,Activo,"Delgado Alejandro","2023-10-20 17:16:22",2023-05-03,,Si,,No
Cond,24405,Cond-24405,,,-,L,1291,L-01291,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:43:28",2023-06-16,,Si,5650.0,No
Cond,22634,Cond-22634,RP,7510,RP-07510,L,10171,L-10171,Activo,"Delgado Alejandro","2023-10-20 17:20:50",2023-05-03,,Si,,Si
Cond,12437,Cond-12437,RP,311,RP-00311,L,358,L-00358,Activo,"Delgado Alejandro","2023-10-20 17:02:26",2023-05-03,,No,,Si
Cond,12450,Cond-12450,RP,321,RP-00321,L,369,L-00369,Activo,"Delgado Alejandro","2023-10-20 17:02:29",2023-05-03,,No,,Si
Cond,27688,Cond-27688,RP,2694,RP-02694,L,17299,L-17299,Activo,"Alexandre GOMBA","2023-10-20 16:26:52",2023-10-20,,Si,,Si
Cond,17706,Cond-17706,RP,4025,RP-04025,L,5446,L-05446,Activo,"Delgado Alejandro","2023-10-20 17:11:50",2023-05-03,,No,,No
Cond,30527,Cond-30527,RP,20748,RP-20748,L,6708,L-06708,Activo,"Alexandre GOMBA","2023-11-16 16:07:37",2023-11-16,,No,,Si
Cond,13633,Cond-13633,RP,1184,RP-01184,L,1559,L-01559,Activo,"Delgado Alejandro","2023-10-20 17:04:30",2023-05-03,,No,,Si
Cond,24691,Cond-24691,,,-,L,2789,L-02789,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:44:07",2023-06-16,,Si,6200.0,Si
Cond,28318,Cond-28318,RP,21026,RP-21026,L,5949,L-05949,Activo,"Alexandre GOMBA","2023-10-20 16:38:02",2023-10-20,,Si,,No
Cond,23561,Cond-23561,RP,8148,RP-08148,L,11089,L-11089,Activo,"Delgado Alejandro","2023-10-20 17:22:28",2023-05-03,,No,,Si
Cond,25111,Cond-25111,,,-,L,4769,L-04769,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:45:05",2023-06-16,,No,6316.38,Si
Cond,19267,Cond-19267,RP,5101,RP-05101,L,6954,L-06954,Activo,"Delgado Alejandro","2023-10-20 17:14:29",2023-05-03,,No,,Si
Cond,27992,Cond-27992,RP,3317,RP-03317,L,16031,L-16031,Activo,"Alexandre GOMBA","2023-10-20 16:32:10",2023-10-20,,No,,Si
Cond,14982,Cond-14982,RP,2070,RP-02070,L,2898,L-02898,Activo,"Delgado Alejandro","2023-10-20 17:06:50",2023-05-03,,No,,Si
Cond,13406,Cond-13406,RP,1013,RP-01013,L,1330,L-01330,Activo,"Delgado Alejandro","2023-10-20 17:04:04",2023-05-03,,No,,Si
Cond,14777,Cond-14777,RP,1924,RP-01924,L,2712,L-02712,Activo,"Delgado Alejandro","2023-10-20 17:06:27",2023-05-03,,Si,,Si
Cond,32078,Cond-32078,RP,22654,RP-22654,L,6955,L-06955,Activo,"Alexandre GOMBA","2024-01-18 23:17:31",2024-01-18,,No,,No
Cond,15791,Cond-15791,RP,2662,RP-02662,L,3644,L-03644,Activo,"Delgado Alejandro","2023-10-20 17:08:22",2023-05-03,,No,,Si
Cond,15671,Cond-15671,RP,2584,RP-02584,L,3536,L-03536,Activo,"Delgado Alejandro","2023-10-20 17:08:10",2023-05-03,,No,,No
Cond,28299,Cond-28299,RP,4347,RP-04347,L,18510,L-18510,Activo,"Alexandre GOMBA","2023-10-20 16:37:42",2023-10-20,,No,,Si
Cond,13347,Cond-13347,RP,970,RP-00970,L,1267,L-01267,Activo,"Delgado Alejandro","2023-10-20 17:03:58",2023-05-03,,Si,,Si
Cond,17651,Cond-17651,RP,3980,RP-03980,L,5398,L-05398,Activo,"Delgado Alejandro","2023-10-20 17:11:43",2023-05-03,,Si,,Si
Cond,27452,Cond-27452,RP,20847,RP-20847,L,2665,L-02665,Activo,"Alexandre GOMBA","2023-10-20 16:22:34",2023-10-20,,Si,,No
Cond,13186,Cond-13186,RP,836,RP-00836,L,1136,L-01136,Activo,"Delgado Alejandro","2023-10-20 17:03:37",2023-05-03,,Si,,No
Cond,21940,Cond-21940,RP,7080,RP-07080,L,9515,L-09515,Activo,"Delgado Alejandro","2023-10-20 17:19:32",2023-05-03,,Si,,No
Cond,13234,Cond-13234,RP,876,RP-00876,L,1173,L-01173,Activo,"Delgado Alejandro","2023-10-20 17:03:44",2023-05-03,,Si,,Si
Cond,17916,Cond-17916,RP,4195,RP-04195,L,5643,L-05643,Activo,"Delgado Alejandro","2023-10-20 17:12:14",2023-05-03,,No,,Si
Cond,21573,Cond-21573,RP,6821,RP-06821,L,9180,L-09180,Activo,"Delgado Alejandro","2023-10-20 17:18:50",2023-05-03,,No,,Si
Cond,23124,Cond-23124,RP,7877,RP-07877,L,10687,L-10687,Activo,"Delgado Alejandro","2023-10-20 17:21:41",2023-05-03,,No,,No
Cond,31265,Cond-31265,RP,21832,RP-21832,L,3289,L-03289,Activo,"Alexandre GOMBA","2023-12-12 18:14:28",2023-12-12,,No,,No
Cond,20580,Cond-20580,RP,6073,RP-06073,L,8202,L-08202,Activo,"Delgado Alejandro","2023-10-20 17:16:56",2023-05-03,,Si,,No
Cond,22635,Cond-22635,RP,7511,RP-07511,L,10171,L-10171,Activo,"Delgado Alejandro","2023-10-20 17:20:50",2023-05-03,,Si,,Si
Cond,31365,Cond-31365,RP,21346,RP-21346,L,619,L-00619,Activo,"Alexandre GOMBA","2024-01-10 22:20:07",2024-01-10,,Si,,Si
Cond,28310,Cond-28310,RP,4391,RP-04391,L,18642,L-18642,Activo,"Alexandre GOMBA","2023-10-20 16:37:54",2023-10-20,,No,,Si
Cond,21739,Cond-21739,RP,6953,RP-06953,L,9315,L-09315,Activo,"Delgado Alejandro","2023-10-20 17:19:15",2023-05-03,,Si,,No
Cond,14038,Cond-14038,RP,1447,RP-01447,L,1972,L-01972,Activo,"Delgado Alejandro","2023-10-20 17:05:13",2023-05-03,,No,,No
Cond,25124,Cond-25124,,,-,L,4811,L-04811,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:45:07",2023-06-16,,No,4000.0,No
Cond,27701,Cond-27701,RP,2710,RP-02710,L,17158,L-17158,Activo,"Alexandre GOMBA","2023-10-20 16:27:06",2023-10-20,,Si,,Si
Cond,24840,Cond-24840,,,-,L,3519,L-03519,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:44:28",2023-06-16,,Si,1498.0,No
Cond,14229,Cond-14229,RP,1583,RP-01583,L,2161,L-02161,Activo,"Delgado Alejandro","2023-10-20 17:05:33",2023-05-03,,Si,,Si
Cond,25783,Cond-25783,,,-,L,7989,L-07989,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:46:38",2023-06-16,,No,6000.0,No
Cond,14467,Cond-14467,RP,1715,RP-01715,L,2421,L-02421,Activo,"Delgado Alejandro","2023-10-20 17:05:57",2023-05-03,,Si,,Si
Cond,21399,Cond-21399,RP,6686,RP-06686,L,8979,L-08979,Activo,"Delgado Alejandro","2023-10-20 17:18:31",2023-05-03,,Si,,No
Cond,22297,Cond-22297,RP,7299,RP-07299,L,9860,L-09860,Activo,"Delgado Alejandro","2023-10-20 17:20:10",2023-05-03,,No,,No
Cond,14125,Cond-14125,RP,1515,RP-01515,L,2059,L-02059,Activo,"Delgado Alejandro","2023-10-20 17:05:23",2023-05-03,,No,,Si
Cond,30405,Cond-30405,RP,4455,RP-04455,L,18790,L-18790,Activo,"Alexandre GOMBA","2023-11-16 16:04:52",2023-11-16,,No,,No
Cond,31735,Cond-31735,RP,23811,RP-23811,L,14696,L-14696,Activo,"Alexandre GOMBA","2024-01-10 22:26:37",2024-01-10,,No,,No
Cond,17842,Cond-17842,RP,4142,RP-04142,L,5573,L-05573,Activo,"Delgado Alejandro","2023-10-20 17:12:06",2023-05-03,,Si,,No
Cond,26057,Cond-26057,RP,18951,RP-18951,L,9318,L-09318,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:47:16",2023-06-16,,Si,3253.0,No
Cond,30437,Cond-30437,RP,4679,RP-04679,L,6316,L-06316,Activo,"Alexandre GOMBA","2023-11-16 16:05:37",2023-11-16,,No,,Si
Cond,14860,Cond-14860,RP,1994,RP-01994,L,2782,L-02782,Activo,"Delgado Alejandro","2023-10-20 17:06:37",2023-05-03,,No,,No
