"WO - ID - prefix","WO - ID - number","WO - ID","ID Solicitud de Acceso - prefix","ID Solicitud de Acceso - number","ID Solicitud de Acceso","ID Site de trabajo - prefix","ID Site de trabajo - number","ID Site de trabajo","ID Site de trabajo (Descargas Baterias) - prefix","ID Site de trabajo (Descargas Baterias) - number","ID Site de trabajo (Descargas Baterias)",Solicitante,Estado,"Fecha de creaciÃ³n","Ultimo cambio",TÃ­tulo,"DescripciÃ³n del Trabajo",Tipo,"Â¿Impacto en el servicio?","Fecha de inicio del impacto del servicio","Fecha de finalizaciÃ³n del impacto del servicio","Fecha ejecuciÃ³n","Estado Cierre","ID Ocean","Fecha prÃ³xima revisiÃ³n","ID de emplazamiento - prefix","ID de emplazamiento - number","ID de emplazamiento","Trabajo completo","Trabajo realizado","Fin de trabajo (previsto)","Fin del trabajo","Inicio de obra","Inicio de obra (previsto)","Reconocimiento requerido","No empezar antes","coordenadas - Latitude - WGS 84","coordenadas - Longitude - WGS 84","coordenadas - Elevation",RazÃ³n,"Trabajo realizado","Trabajo por hacer","PrÃ³xima visita preventiva en","PrÃ³xima visita PM","Â¿Se requiere acceso al sitio?",Dominio,"Fecha de inicio prevista","Fecha de finalizaciÃ³n prevista"
WO,154,WO-154,,,-,,,,SPA-TE,48,SPA-TE00048,"Delgado Alejandro",Cerrado,"2021-05-18 19:21:00","2023-09-07 20:13:47","RevisiÃ³n MTO",,"Revision (MTO)",,,,,,,,LO,6416,LO-006416,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3487,WO-3487,,,-,,,,SPA-TO,411,SPA-TO00411,"System Administrator",Cerrado,"2023-11-14 19:07:17","2023-11-15 12:14:27","1812442617985_TO0411-REV__MTO_07-06-2022.PDF","1812442617985_TO0411-REV__MTO_07-06-2022.PDF","Revision (MTO)",NO,,,,,,,LO,6717,LO-006717,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3734,WO-3734,,,-,,,,SPA-TE,19,SPA-TE00019,"System Administrator",Cerrado,"2023-11-14 19:13:05","2023-11-15 12:20:58","271014372266_TE0019-REV_MTO_22-08-2022.PDF","271014372266_TE0019-REV_MTO_22-08-2022.PDF","Revision (MTO)",NO,,,,,,,LO,6402,LO-006402,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3669,WO-3669,,,-,,,,SPA-BU,4302,SPA-BU04302,"System Administrator",Cerrado,"2023-11-14 19:11:30","2023-11-15 12:19:51","160827459497_BU4302-CON_DEFECTOS.PDF","160827459497_BU4302-CON_DEFECTOS.PDF","Revision (MTO)",NO,,,,,,,LO,732,LO-000732,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3726,WO-3726,,,-,,,,SPA-AB,6326,SPA-AB06326,"System Administrator",Cerrado,"2023-11-14 19:12:54","2023-11-15 12:24:44","2709544826018_AB6326-REV_MTO_05-09-2022.PDF","2709544826018_AB6326-REV_MTO_05-09-2022.PDF","Revision (MTO)",NO,,,,,,,LO,68,LO-000068,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1727,WO-1727,,,-,,,,SPA-ZX,574,SPA-ZX00574,"Delgado Alejandro",Cerrado,"2022-07-05 00:00:00","2023-09-07 20:18:44",Otros,,"Revision (MTO)",,,,,,,,LO,7793,LO-007793,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1636,WO-1636,,,-,,,,SPA-TO,14,SPA-TO00014,"Delgado Alejandro",Cerrado,"2022-07-15 14:22:00","2023-09-01 06:39:18","RevisiÃ³n MTO",,"Revision (MTO)",,,,,,,,LO,6635,LO-006635,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,146,WO-146,,,-,,,,SPA-TE,8,SPA-TE00008,"Delgado Alejandro",Cerrado,"2021-05-28 10:04:00","2023-09-07 20:13:45","InspecciÃ³n OCA",,"Inspecciones (OCA)",,,,,,,,LO,6398,LO-006398,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3476,WO-3476,,,-,,,,SPA-TO,73,SPA-TO00073,"System Administrator",Cerrado,"2023-11-14 19:07:03","2023-11-15 12:09:12","1812173324171_CERT_AT-TO-007_22_TOTEM_TO0073_CORRAL_DE_ALMALAGUER_CT.PDF","1812173324171_CERT_AT-TO-007_22_TOTEM_TO0073_CORRAL_DE_ALMALAGUER_CT.PDF","Inspecciones (OCA)",NO,,,,,,06.06.2025,LO,6661,LO-006661,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,748,WO-748,,,-,,,,SPA-PO,6328,SPA-PO06328,"Delgado Alejandro",Cerrado,"2020-08-28 00:00:00","2023-09-07 20:15:40",Otros,,"Revision (MTO)",,,,,,,,LO,5555,LO-005555,false,,,,,,false,2023-05-08,,,,,,,,,,,,
