"Id Emplazamiento - prefix","Id Emplazamiento - number","Id Emplazamiento","Id Site - prefix","Id Site - number","Id Site",Estado,Autor,"Fecha de Creación","Ultimo cambio",Nombre,"Coordinates - Latitude - WGS 84","Coordinates - Longitude - WGS 84","Coordinates - Elevation",Tags,"Referencia Catastral","Plot/Terrace azimuth","Wind zone","Plot / terrace length","Plot / terrace width","Mobile performed","Mobile username","Date of mobile report","Uso del Terreno","Clasificación del terreno","Tipología Propiedad","Tipo de Propiedad","24x7 Access","Dirección Catastral","Access Control","Tipo de Instalación","Causa Rechazo Candidato","Infrastructure type","Non-Feasibility Reason","Fiber Feasibility","Photo report raw"
LO,6262,LO-006262,SPA-SS,5843,SPA-SS05843,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:02:27",SS5843,43.337957,-1.797492,0.0,,45142A00800138,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,4000,LO-004000,SPA-MA,3918,SPA-MA03918,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:07:36",MA3918,36.533338,-4.839642,365.0,,29076A00400343,,,,,,,,Agrícola,Rústico,"Doble Titularidad",Privado,Si,"Polígono 4 Parcela 363 ZAMBA","No Restringido",Existente,,TORRE,,,
LO,6492,LO-006492,SPA-TF,115,SPA-TF00115,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:41:14",TF0115,28.459421,-16.305337,467.0,,38023A06309000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"AV CHUMBERAS STA MARIA MAR 5 KIABI",Restringido,Existente,,AZOTEA,,,
LO,3049,LO-003049,SPA-IB,70,SPA-IB00070,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:20",IB0070,39.636305,3.414777,18.0,,6077115ED3857N,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,No,"AV DEL PINAR CP 32",Restringido,Existente,,AZOTEA,,,
LO,6507,LO-006507,SPA-TF,6019,SPA-TF06019,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:41:18",TF6019,28.452122,-16.282985,228.0,,4578301CS7447N,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,3150,LO-003150,SPA-IB,295,SPA-IB00295,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:48",IB0295,39.767345,3.018978,20.0,,1721923EE0012S,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,6871,LO-006871,SPA-TX,7658,SPA-TX07658,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:51:13",TX7658,40.588616,0.453978,133.0,,,,,,,,,,Residencial,Urbano,"Land Agg (On Tower)",Privado,Si,"Polígono 61 Parcela 551, LA COGULA.",,Existente,,TORRE,,,
LO,4104,LO-004104,SPA-MU,286,SPA-MU00286,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:50:14",MU0286,37.977334,-1.129321,44.0,,4451801XH6045S,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,"ARQUES CORVERA 19
MURCIA (MURCIA) (MURCIA)","No Restringido",Existente,,AZOTEA,,,
LO,7594,LO-007594,SPA-VX,5007,SPA-VX05007,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:53:22",VX5007,39.481101,-0.577373,0.0,,46216A05209000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"CL MENORCA 1","No Restringido",Existente,,TORRE,,,
LO,4876,LO-004876,SPA-MX,6178,SPA-MX06178,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:40:26",MX6178,40.518367,-3.656781,0.0,,4553909VK4845N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,,,Existente,,AZOTEA,,,
LO,6087,LO-006087,SPA-SG,9545,SPA-SG09545,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:01:45",SG9545,41.194071,-4.42527,803.0,,40169A00100136,,,,,,,,,,"Propietario único",Privado,Si,"CL REAL ALTA 27 Polígono 9 Parcela 5003 ENARES, LOS.","No Restringido",Existente,,TORRE,,,
LO,4089,LO-004089,SPA-MU,209,SPA-MU00209,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:50:10",MU0209,37.403777,-1.583661,15.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,,,Existente,,AZOTEA,,,
LO,5825,LO-005825,SPA-SE,295,SPA-SE00295,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:07",SE0295,37.388164,-5.981896,7.0,,6123801TG3462S,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,1719,LO-001719,SPA-CR,3046,SPA-CR03046,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:46",CR3046,39.24922,-3.107672,694.0,,13028A03600012,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 36, Parcela 12. EL MINGUILLO","No Restringido",Existente,,TORRE,,,
LO,5207,LO-005207,SPA-OX,12,SPA-OX00012,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:59:16",OX0012,43.531397,-5.660582,19.0,,5134104TP8253S,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,6892,LO-006892,SPA-TX,7695,SPA-TX07695,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:51:19",TX7695,41.156549,1.10207,119.0,,0881806CF4508B,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,"PZ NEN DE LES OQUES DEL 2","No Restringido",Existente,,AZOTEA,,,
LO,7330,LO-007330,SPA-VX,308,SPA-VX00308,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:52:09",VX0308,39.520963,-0.423447,86.0,,1580816YJ2718S,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"CL QUARTELLA 13","No Restringido",Existente,,TORRE,,,
LO,2330,LO-002330,SPA-GC,6,SPA-GC00006,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-27 20:21:02",GC0006,28.137341,-15.435431,5.0,,35017A00109000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,"PZ PLAZOLETA DE FARRAY 4","No Restringido",Existente,,AZOTEA,,,
LO,5906,LO-005906,SPA-SE,826,SPA-SE00826,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:29",SE0826,37.395091,-6.010815,0.0,,3632001TG3433S,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,5004,LO-005004,SPA-MX,9904,SPA-MX09904,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:41:06",MX9904,40.466249,-3.690613,720.0,,28900A90009000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,"CL CUATRO AMIGOS 5",Restringido,Existente,,AZOTEA,,,
LO,4587,LO-004587,SPA-MX,1830,SPA-MX01830,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:39:10",MX1830,40.463797,-3.780925,700.0,,3997502VK3739H,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,"CL AMURRIO 1 Suelo",Restringido,Existente,,TORRE,,,
LO,5946,LO-005946,SPA-SE,1181,SPA-SE01181,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:40",SE1181,37.377346,-4.949477,198.0,,41061A00600188,,,,,,,,Residencial,Urbano,"AAPP Privativo",Privado,,"Polígono 6 Parcela 188 EL TOCON",Restringido,Existente,,TORRE,,,
LO,1850,LO-001850,SPA-CS,40,SPA-CS00040,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:46:42",CS0040,40.264816,0.258116,88.0,,12004A01400226,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,,"Polígono 14 Parcela 226 PALABA.",,Existente,,TORRE,,,
LO,7610,LO-007610,SPA-VX,7341,SPA-VX07341,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:53:26",VX7341,38.900248,-0.060181,10.0,,46183A01009004,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"AV DALI 4","No Restringido",Existente,,AZOTEA,,,
LO,1984,LO-001984,SPA-CU,8325,SPA-CU08325,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-27 20:20:42",CU8325,39.478646,-2.018354,822.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"Polígono 4 Parcela 63
LA SABINA. POZORRUBIELOS DE LA MANCHA (RUBIELOS ALTOS) (CUENCA)","No Restringido",Existente,,TORRE,,,
LO,8525,LO-008525,SPA-IB,8440,SPA-IB08440,Reservado,"Alexandre GOMBA",2024-01-10,"2024-01-10 15:35:43",IB8440,,,,,,,,,,,,,Agrícola,Rústico,,,,,,Nuevo,,,,,
LO,992,LO-000992,SPA-BX,652,SPA-BX00652,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:44:21",BX0652,41.605214,1.920554,385.0,,08291A01600016,,,,,,,,Agrícola,Rústico,"AAPP Privativo",Privado,Si,"PL Polígono DISEMINADOS","No Restringido",Existente,,TORRE,,,
LO,132,LO-000132,SPA-AL,9302,SPA-AL09302,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:04:20",AL9302,36.845889,-2.467875,85.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,2397,LO-002397,SPA-GC,141,SPA-GC00141,Activo,"Oscar Camps Solaesa",2023-05-23,"2024-01-10 15:40:29",GC0141,27.761397,-15.682933,33.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"CL VIERA Y CLAVIJO 8 Es:1 Pl:03 Pt:01 MOGAN","No Restringido",Existente,,AZOTEA,,,
LO,102,LO-000102,SPA-AL,8801,SPA-AL08801,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:04:12",AL8801,36.749482,-3.013621,50.0,,8973022VF9687D,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,2754,LO-002754,SPA-GU,9102,SPA-GU09102,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:56:06",GU9102,40.590431,-3.225336,626.0,,19029A00100181,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"DS DISEMINADOS Polígono 1 Parcela 449 PEÑUELA. ALOVERA","No Restringido",Existente,,TORRE,,,
LO,6008,LO-006008,SPA-SE,5707,SPA-SE05707,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:56",SE5707,37.389084,-5.94012,0.0,,0025002TG4402S,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,"AV ANDALUCIA 1(C) COMERCIAL HIPERCOR",Restringido,Existente,,TORRE,,,
LO,432,LO-000432,SPA-BA,502,SPA-BA00502,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:04:33",BA0502,38.684681,-7.100797,286.0,,5236601PC6853N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,4875,LO-004875,SPA-MX,6177,SPA-MX06177,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:40:26",MX6177,40.432262,-3.68773,0.0,,1761603VK4716B,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,,Restringido,Existente,,AZOTEA,,,
LO,1729,LO-001729,SPA-CR,3065,SPA-CR03065,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:49",CR3065,39.24531,-2.983519,0.0,,13082A08800016,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"Polígono 88 Parcela 19. GACHAS.","No Restringido",Existente,,TORRE,,,
